lat,lon,prob_above,prob_norm,prob_below,lead_month,forecast_date,init_year,init_month
15.0,-90.0,0.2157,0.3039,0.4804,1,2026-05,2026,4
15.0,-89.0,0.1863,0.3333,0.4804,1,2026-05,2026,4
15.0,-88.0,0.1863,0.3235,0.4902,1,2026-05,2026,4
15.0,-87.0,0.1863,0.2941,0.5196,1,2026-05,2026,4
15.0,-86.0,0.2157,0.3039,0.4804,1,2026-05,2026,4
15.0,-85.0,0.3431,0.2647,0.3922,1,2026-05,2026,4
15.0,-84.0,0.3725,0.2451,0.3824,1,2026-05,2026,4
15.0,-83.0,0.3039,0.2647,0.4314,1,2026-05,2026,4
15.0,-82.0,0.2353,0.3039,0.4608,1,2026-05,2026,4
15.0,-81.0,0.1863,0.3333,0.4804,1,2026-05,2026,4
15.0,-80.0,0.1667,0.3627,0.4706,1,2026-05,2026,4
15.0,-79.0,0.1863,0.3333,0.4804,1,2026-05,2026,4
15.0,-78.0,0.2059,0.3431,0.451,1,2026-05,2026,4
15.0,-77.0,0.2059,0.2549,0.5392,1,2026-05,2026,4
15.0,-76.0,0.1961,0.2843,0.5196,1,2026-05,2026,4
15.0,-75.0,0.1765,0.2843,0.5392,1,2026-05,2026,4
15.0,-74.0,0.1471,0.2843,0.5686,1,2026-05,2026,4
15.0,-73.0,0.1667,0.2549,0.5784,1,2026-05,2026,4
15.0,-72.0,0.1863,0.2843,0.5294,1,2026-05,2026,4
15.0,-71.0,0.1863,0.2549,0.5588,1,2026-05,2026,4
15.0,-70.0,0.1373,0.2843,0.5784,1,2026-05,2026,4
15.0,-69.0,0.1176,0.2941,0.5882,1,2026-05,2026,4
15.0,-68.0,0.098,0.2353,0.6667,1,2026-05,2026,4
15.0,-67.0,0.1078,0.2451,0.6471,1,2026-05,2026,4
15.0,-66.0,0.0882,0.2647,0.6471,1,2026-05,2026,4
15.0,-65.0,0.1176,0.2353,0.6471,1,2026-05,2026,4
15.0,-64.0,0.098,0.2941,0.6078,1,2026-05,2026,4
15.0,-63.0,0.1078,0.2451,0.6471,1,2026-05,2026,4
15.0,-62.0,0.1569,0.2059,0.6373,1,2026-05,2026,4
15.0,-61.0,0.1373,0.2745,0.5882,1,2026-05,2026,4
15.0,-60.0,0.1471,0.2647,0.5882,1,2026-05,2026,4
15.0,-59.0,0.1765,0.3039,0.5196,1,2026-05,2026,4
15.0,-58.0,0.1961,0.2941,0.5098,1,2026-05,2026,4
15.0,-57.0,0.2059,0.3235,0.4706,1,2026-05,2026,4
15.0,-56.0,0.1569,0.3725,0.4706,1,2026-05,2026,4
15.0,-55.0,0.1373,0.3922,0.4706,1,2026-05,2026,4
15.0,-54.0,0.1275,0.3627,0.5098,1,2026-05,2026,4
15.0,-53.0,0.1176,0.3431,0.5392,1,2026-05,2026,4
15.0,-52.0,0.0882,0.3333,0.5784,1,2026-05,2026,4
15.0,-51.0,0.0882,0.3235,0.5882,1,2026-05,2026,4
15.0,-50.0,0.1078,0.2647,0.6275,1,2026-05,2026,4
15.0,-49.0,0.0882,0.2549,0.6569,1,2026-05,2026,4
15.0,-48.0,0.0588,0.3235,0.6176,1,2026-05,2026,4
15.0,-47.0,0.0686,0.3235,0.6078,1,2026-05,2026,4
15.0,-46.0,0.0882,0.3137,0.598,1,2026-05,2026,4
15.0,-45.0,0.0686,0.3137,0.6176,1,2026-05,2026,4
15.0,-44.0,0.0882,0.2549,0.6569,1,2026-05,2026,4
15.0,-43.0,0.0882,0.2941,0.6176,1,2026-05,2026,4
15.0,-42.0,0.098,0.2745,0.6275,1,2026-05,2026,4
15.0,-41.0,0.0882,0.2843,0.6275,1,2026-05,2026,4
15.0,-40.0,0.0588,0.3039,0.6373,1,2026-05,2026,4
15.0,-39.0,0.098,0.2549,0.6471,1,2026-05,2026,4
15.0,-38.0,0.098,0.2745,0.6275,1,2026-05,2026,4
15.0,-37.0,0.098,0.3235,0.5784,1,2026-05,2026,4
15.0,-36.0,0.098,0.3137,0.5882,1,2026-05,2026,4
15.0,-35.0,0.1078,0.2745,0.6176,1,2026-05,2026,4
15.0,-34.0,0.1176,0.2549,0.6275,1,2026-05,2026,4
14.0,-90.0,0.1471,0.2843,0.5686,1,2026-05,2026,4
14.0,-89.0,0.1176,0.2941,0.5882,1,2026-05,2026,4
14.0,-88.0,0.1275,0.3137,0.5588,1,2026-05,2026,4
14.0,-87.0,0.1471,0.3431,0.5098,1,2026-05,2026,4
14.0,-86.0,0.2647,0.2451,0.4902,1,2026-05,2026,4
14.0,-85.0,0.3235,0.2647,0.4118,1,2026-05,2026,4
14.0,-84.0,0.3431,0.2745,0.3824,1,2026-05,2026,4
14.0,-83.0,0.2549,0.3235,0.4216,1,2026-05,2026,4
14.0,-82.0,0.1863,0.3235,0.4902,1,2026-05,2026,4
14.0,-81.0,0.1667,0.3431,0.4902,1,2026-05,2026,4
14.0,-80.0,0.1667,0.3431,0.4902,1,2026-05,2026,4
14.0,-79.0,0.2157,0.2941,0.4902,1,2026-05,2026,4
14.0,-78.0,0.1863,0.2843,0.5294,1,2026-05,2026,4
14.0,-77.0,0.2059,0.2941,0.5,1,2026-05,2026,4
14.0,-76.0,0.2255,0.3137,0.4608,1,2026-05,2026,4
14.0,-75.0,0.1863,0.2353,0.5784,1,2026-05,2026,4
14.0,-74.0,0.1471,0.2549,0.598,1,2026-05,2026,4
14.0,-73.0,0.1667,0.2549,0.5784,1,2026-05,2026,4
14.0,-72.0,0.1961,0.2549,0.549,1,2026-05,2026,4
14.0,-71.0,0.1569,0.2843,0.5588,1,2026-05,2026,4
14.0,-70.0,0.1667,0.2451,0.5882,1,2026-05,2026,4
14.0,-69.0,0.1275,0.3039,0.5686,1,2026-05,2026,4
14.0,-68.0,0.1176,0.2941,0.5882,1,2026-05,2026,4
14.0,-67.0,0.098,0.2549,0.6471,1,2026-05,2026,4
14.0,-66.0,0.0882,0.2941,0.6176,1,2026-05,2026,4
14.0,-65.0,0.1176,0.3137,0.5686,1,2026-05,2026,4
14.0,-64.0,0.1275,0.2843,0.5882,1,2026-05,2026,4
14.0,-63.0,0.0882,0.3333,0.5784,1,2026-05,2026,4
14.0,-62.0,0.1275,0.2843,0.5882,1,2026-05,2026,4
14.0,-61.0,0.1569,0.2549,0.5882,1,2026-05,2026,4
14.0,-60.0,0.1373,0.3333,0.5294,1,2026-05,2026,4
14.0,-59.0,0.1863,0.2941,0.5196,1,2026-05,2026,4
14.0,-58.0,0.1961,0.3039,0.5,1,2026-05,2026,4
14.0,-57.0,0.1765,0.3235,0.5,1,2026-05,2026,4
14.0,-56.0,0.1765,0.3039,0.5196,1,2026-05,2026,4
14.0,-55.0,0.1667,0.3431,0.4902,1,2026-05,2026,4
14.0,-54.0,0.1078,0.3824,0.5098,1,2026-05,2026,4
14.0,-53.0,0.1373,0.3333,0.5294,1,2026-05,2026,4
14.0,-52.0,0.1078,0.3333,0.5588,1,2026-05,2026,4
14.0,-51.0,0.1078,0.3824,0.5098,1,2026-05,2026,4
14.0,-50.0,0.1176,0.3235,0.5588,1,2026-05,2026,4
14.0,-49.0,0.1176,0.2843,0.598,1,2026-05,2026,4
14.0,-48.0,0.098,0.2941,0.6078,1,2026-05,2026,4
14.0,-47.0,0.0686,0.3824,0.549,1,2026-05,2026,4
14.0,-46.0,0.0784,0.4314,0.4902,1,2026-05,2026,4
14.0,-45.0,0.0784,0.4412,0.4804,1,2026-05,2026,4
14.0,-44.0,0.1176,0.3529,0.5294,1,2026-05,2026,4
14.0,-43.0,0.1078,0.3235,0.5686,1,2026-05,2026,4
14.0,-42.0,0.0784,0.3333,0.5882,1,2026-05,2026,4
14.0,-41.0,0.0784,0.3333,0.5882,1,2026-05,2026,4
14.0,-40.0,0.0882,0.3137,0.598,1,2026-05,2026,4
14.0,-39.0,0.098,0.3039,0.598,1,2026-05,2026,4
14.0,-38.0,0.1176,0.2549,0.6275,1,2026-05,2026,4
14.0,-37.0,0.1078,0.2843,0.6078,1,2026-05,2026,4
14.0,-36.0,0.0784,0.3235,0.598,1,2026-05,2026,4
14.0,-35.0,0.0784,0.3333,0.5882,1,2026-05,2026,4
14.0,-34.0,0.0784,0.3235,0.598,1,2026-05,2026,4
14.0,-33.0,0.1373,0.2647,0.598,1,2026-05,2026,4
13.0,-90.0,0.1176,0.2647,0.6176,1,2026-05,2026,4
13.0,-89.0,0.0882,0.3039,0.6078,1,2026-05,2026,4
13.0,-88.0,0.0882,0.2647,0.6471,1,2026-05,2026,4
13.0,-87.0,0.1078,0.3431,0.549,1,2026-05,2026,4
13.0,-86.0,0.2059,0.2745,0.5196,1,2026-05,2026,4
13.0,-85.0,0.3039,0.3039,0.3922,1,2026-05,2026,4
13.0,-84.0,0.3235,0.2941,0.3824,1,2026-05,2026,4
13.0,-83.0,0.1863,0.3333,0.4804,1,2026-05,2026,4
13.0,-82.0,0.1667,0.2549,0.5784,1,2026-05,2026,4
13.0,-81.0,0.1667,0.3235,0.5098,1,2026-05,2026,4
13.0,-80.0,0.1667,0.3039,0.5294,1,2026-05,2026,4
13.0,-79.0,0.1176,0.3529,0.5294,1,2026-05,2026,4
13.0,-78.0,0.1176,0.3235,0.5588,1,2026-05,2026,4
13.0,-77.0,0.1471,0.3431,0.5098,1,2026-05,2026,4
13.0,-76.0,0.0882,0.3039,0.6078,1,2026-05,2026,4
13.0,-74.0,0.1078,0.2255,0.6667,1,2026-05,2026,4
13.0,-73.0,0.1176,0.2843,0.598,1,2026-05,2026,4
13.0,-72.0,0.1373,0.2745,0.5882,1,2026-05,2026,4
13.0,-71.0,0.1667,0.2353,0.598,1,2026-05,2026,4
13.0,-70.0,0.1863,0.2745,0.5392,1,2026-05,2026,4
13.0,-69.0,0.2353,0.2745,0.4902,1,2026-05,2026,4
13.0,-68.0,0.1961,0.3039,0.5,1,2026-05,2026,4
