lat,lon,lead_month,forecast_date,anom,init_year,init_month
14.5,-89.5,1,2026-07,7.34,2026,6
14.5,-88.5,1,2026-07,7.04,2026,6
14.5,-87.5,1,2026-07,4.71,2026,6
14.5,-86.5,1,2026-07,4.66,2026,6
14.5,-85.5,1,2026-07,6.37,2026,6
14.5,-84.5,1,2026-07,7.21,2026,6
14.5,-83.5,1,2026-07,7.49,2026,6
14.5,-82.5,1,2026-07,6.01,2026,6
14.5,-81.5,1,2026-07,3.91,2026,6
14.5,-80.5,1,2026-07,2.96,2026,6
14.5,-79.5,1,2026-07,2.55,2026,6
14.5,-78.5,1,2026-07,2.4,2026,6
14.5,-77.5,1,2026-07,2.09,2026,6
14.5,-76.5,1,2026-07,1.75,2026,6
14.5,-75.5,1,2026-07,1.41,2026,6
14.5,-74.5,1,2026-07,1.11,2026,6
14.5,-73.5,1,2026-07,1.08,2026,6
14.5,-72.5,1,2026-07,0.95,2026,6
14.5,-71.5,1,2026-07,0.95,2026,6
14.5,-70.5,1,2026-07,1.11,2026,6
14.5,-69.5,1,2026-07,1.26,2026,6
14.5,-68.5,1,2026-07,1.33,2026,6
14.5,-67.5,1,2026-07,1.43,2026,6
14.5,-66.5,1,2026-07,1.51,2026,6
14.5,-65.5,1,2026-07,1.58,2026,6
14.5,-64.5,1,2026-07,1.57,2026,6
14.5,-63.5,1,2026-07,1.57,2026,6
14.5,-62.5,1,2026-07,1.5,2026,6
14.5,-61.5,1,2026-07,1.33,2026,6
14.5,-60.5,1,2026-07,1.45,2026,6
14.5,-59.5,1,2026-07,1.29,2026,6
14.5,-58.5,1,2026-07,1.19,2026,6
14.5,-57.5,1,2026-07,1.12,2026,6
14.5,-56.5,1,2026-07,1.05,2026,6
14.5,-55.5,1,2026-07,0.99,2026,6
14.5,-54.5,1,2026-07,0.94,2026,6
14.5,-53.5,1,2026-07,0.89,2026,6
14.5,-52.5,1,2026-07,0.84,2026,6
14.5,-51.5,1,2026-07,0.82,2026,6
14.5,-50.5,1,2026-07,0.81,2026,6
14.5,-49.5,1,2026-07,0.82,2026,6
14.5,-48.5,1,2026-07,0.8,2026,6
14.5,-47.5,1,2026-07,0.8,2026,6
14.5,-46.5,1,2026-07,0.76,2026,6
14.5,-45.5,1,2026-07,0.75,2026,6
14.5,-44.5,1,2026-07,0.71,2026,6
14.5,-43.5,1,2026-07,0.68,2026,6
14.5,-42.5,1,2026-07,0.64,2026,6
14.5,-41.5,1,2026-07,0.63,2026,6
14.5,-40.5,1,2026-07,0.62,2026,6
14.5,-39.5,1,2026-07,0.62,2026,6
14.5,-38.5,1,2026-07,0.66,2026,6
14.5,-37.5,1,2026-07,0.64,2026,6
14.5,-36.5,1,2026-07,0.6,2026,6
14.5,-35.5,1,2026-07,0.57,2026,6
14.5,-34.5,1,2026-07,0.56,2026,6
14.5,-33.5,1,2026-07,0.51,2026,6
14.5,-32.5,1,2026-07,0.47,2026,6
14.5,-31.5,1,2026-07,0.46,2026,6
14.5,-30.5,1,2026-07,0.44,2026,6
13.5,-89.5,1,2026-07,7.76,2026,6
13.5,-88.5,1,2026-07,8.09,2026,6
13.5,-87.5,1,2026-07,7.41,2026,6
13.5,-86.5,1,2026-07,5.24,2026,6
13.5,-85.5,1,2026-07,7.47,2026,6
13.5,-84.5,1,2026-07,8.03,2026,6
13.5,-83.5,1,2026-07,10.73,2026,6
13.5,-82.5,1,2026-07,6.95,2026,6
13.5,-81.5,1,2026-07,4.51,2026,6
13.5,-80.5,1,2026-07,3.42,2026,6
13.5,-79.5,1,2026-07,2.84,2026,6
13.5,-78.5,1,2026-07,2.31,2026,6
13.5,-77.5,1,2026-07,1.88,2026,6
13.5,-76.5,1,2026-07,1.67,2026,6
13.5,-75.5,1,2026-07,1.13,2026,6
13.5,-74.5,1,2026-07,0.79,2026,6
13.5,-73.5,1,2026-07,0.48,2026,6
13.5,-72.5,1,2026-07,0.35,2026,6
13.5,-71.5,1,2026-07,0.33,2026,6
13.5,-70.5,1,2026-07,0.57,2026,6
13.5,-69.5,1,2026-07,0.93,2026,6
13.5,-68.5,1,2026-07,1.16,2026,6
13.5,-67.5,1,2026-07,1.37,2026,6
13.5,-66.5,1,2026-07,1.52,2026,6
13.5,-65.5,1,2026-07,1.72,2026,6
13.5,-64.5,1,2026-07,1.76,2026,6
13.5,-63.5,1,2026-07,1.79,2026,6
13.5,-62.5,1,2026-07,1.81,2026,6
13.5,-61.5,1,2026-07,1.61,2026,6
13.5,-60.5,1,2026-07,1.64,2026,6
13.5,-59.5,1,2026-07,1.42,2026,6
13.5,-58.5,1,2026-07,1.29,2026,6
13.5,-57.5,1,2026-07,1.2,2026,6
13.5,-56.5,1,2026-07,1.12,2026,6
13.5,-55.5,1,2026-07,1.02,2026,6
13.5,-54.5,1,2026-07,0.98,2026,6
13.5,-53.5,1,2026-07,0.93,2026,6
13.5,-52.5,1,2026-07,0.89,2026,6
13.5,-51.5,1,2026-07,0.88,2026,6
13.5,-50.5,1,2026-07,0.86,2026,6
13.5,-49.5,1,2026-07,0.84,2026,6
13.5,-48.5,1,2026-07,0.82,2026,6
13.5,-47.5,1,2026-07,0.81,2026,6
13.5,-46.5,1,2026-07,0.75,2026,6
13.5,-45.5,1,2026-07,0.7,2026,6
13.5,-44.5,1,2026-07,0.67,2026,6
13.5,-43.5,1,2026-07,0.64,2026,6
13.5,-42.5,1,2026-07,0.63,2026,6
13.5,-41.5,1,2026-07,0.61,2026,6
13.5,-40.5,1,2026-07,0.61,2026,6
13.5,-39.5,1,2026-07,0.61,2026,6
13.5,-38.5,1,2026-07,0.58,2026,6
13.5,-37.5,1,2026-07,0.62,2026,6
13.5,-36.5,1,2026-07,0.68,2026,6
13.5,-35.5,1,2026-07,0.61,2026,6
13.5,-34.5,1,2026-07,0.54,2026,6
13.5,-33.5,1,2026-07,0.48,2026,6
13.5,-32.5,1,2026-07,0.46,2026,6
13.5,-31.5,1,2026-07,0.45,2026,6
13.5,-30.5,1,2026-07,0.41,2026,6
12.5,-89.5,1,2026-07,7.61,2026,6
12.5,-88.5,1,2026-07,8.43,2026,6
12.5,-87.5,1,2026-07,7.92,2026,6
12.5,-86.5,1,2026-07,5.29,2026,6
12.5,-85.5,1,2026-07,5.54,2026,6
12.5,-84.5,1,2026-07,8.7,2026,6
12.5,-83.5,1,2026-07,12.79,2026,6
12.5,-82.5,1,2026-07,8.71,2026,6
12.5,-81.5,1,2026-07,6.17,2026,6
12.5,-80.5,1,2026-07,4.88,2026,6
12.5,-79.5,1,2026-07,3.78,2026,6
12.5,-78.5,1,2026-07,3.52,2026,6
12.5,-77.5,1,2026-07,2.99,2026,6
12.5,-76.5,1,2026-07,2.19,2026,6
12.5,-75.5,1,2026-07,1.58,2026,6
12.5,-74.5,1,2026-07,1.04,2026,6
12.5,-73.5,1,2026-07,0.92,2026,6
12.5,-72.5,1,2026-07,0.46,2026,6
12.5,-71.5,1,2026-07,0.23,2026,6
12.5,-70.5,1,2026-07,0.22,2026,6
12.5,-69.5,1,2026-07,0.78,2026,6
12.5,-68.5,1,2026-07,1.1,2026,6
12.5,-67.5,1,2026-07,1.06,2026,6
12.5,-66.5,1,2026-07,1.37,2026,6
12.5,-65.5,1,2026-07,1.45,2026,6
12.5,-64.5,1,2026-07,1.69,2026,6
12.5,-63.5,1,2026-07,1.96,2026,6
12.5,-62.5,1,2026-07,2.34,2026,6
12.5,-61.5,1,2026-07,2.31,2026,6
12.5,-60.5,1,2026-07,2.09,2026,6
12.5,-59.5,1,2026-07,1.84,2026,6
12.5,-58.5,1,2026-07,1.68,2026,6
12.5,-57.5,1,2026-07,1.55,2026,6
12.5,-56.5,1,2026-07,1.43,2026,6
12.5,-55.5,1,2026-07,1.31,2026,6
12.5,-54.5,1,2026-07,1.21,2026,6
12.5,-53.5,1,2026-07,1.06,2026,6
12.5,-52.5,1,2026-07,0.97,2026,6
12.5,-51.5,1,2026-07,0.91,2026,6
12.5,-50.5,1,2026-07,0.86,2026,6
12.5,-49.5,1,2026-07,0.8,2026,6
12.5,-48.5,1,2026-07,0.78,2026,6
12.5,-47.5,1,2026-07,0.72,2026,6
12.5,-46.5,1,2026-07,0.73,2026,6
12.5,-45.5,1,2026-07,0.68,2026,6
12.5,-44.5,1,2026-07,0.66,2026,6
12.5,-43.5,1,2026-07,0.62,2026,6
12.5,-42.5,1,2026-07,0.63,2026,6
12.5,-41.5,1,2026-07,0.68,2026,6
12.5,-40.5,1,2026-07,0.7,2026,6
12.5,-39.5,1,2026-07,0.68,2026,6
12.5,-38.5,1,2026-07,0.61,2026,6
12.5,-37.5,1,2026-07,0.56,2026,6
12.5,-36.5,1,2026-07,0.6,2026,6
12.5,-35.5,1,2026-07,0.65,2026,6
12.5,-34.5,1,2026-07,0.61,2026,6
12.5,-33.5,1,2026-07,0.53,2026,6
12.5,-32.5,1,2026-07,0.46,2026,6
12.5,-31.5,1,2026-07,0.41,2026,6
12.5,-30.5,1,2026-07,0.38,2026,6
11.5,-89.5,1,2026-07,7.41,2026,6
11.5,-88.5,1,2026-07,7.75,2026,6
11.5,-87.5,1,2026-07,8.08,2026,6
11.5,-86.5,1,2026-07,6.46,2026,6
11.5,-85.5,1,2026-07,7.21,2026,6
11.5,-84.5,1,2026-07,8.17,2026,6
11.5,-83.5,1,2026-07,14.72,2026,6
11.5,-82.5,1,2026-07,10.87,2026,6
11.5,-81.5,1,2026-07,9.36,2026,6
11.5,-80.5,1,2026-07,7.12,2026,6
11.5,-79.5,1,2026-07,5.62,2026,6
11.5,-78.5,1,2026-07,4.55,2026,6
11.5,-77.5,1,2026-07,4.04,2026,6
11.5,-76.5,1,2026-07,3.35,2026,6
11.5,-75.5,1,2026-07,2.11,2026,6
11.5,-74.5,1,2026-07,4.91,2026,6
11.5,-73.5,1,2026-07,3.48,2026,6
11.5,-72.5,1,2026-07,3.12,2026,6
11.5,-71.5,1,2026-07,0.79,2026,6
11.5,-70.5,1,2026-07,0.5,2026,6
11.5,-69.5,1,2026-07,1.25,2026,6
11.5,-68.5,1,2026-07,1.27,2026,6
