lat,lon,lead_month,forecast_date,anom,init_year,init_month
14.5,-89.5,1,2026-09,1.6576,2026,8
14.5,-88.5,1,2026-09,1.7421,2026,8
14.5,-87.5,1,2026-09,1.5282,2026,8
14.5,-86.5,1,2026-09,1.1149,2026,8
14.5,-85.5,1,2026-09,0.9374,2026,8
14.5,-84.5,1,2026-09,1.039,2026,8
14.5,-83.5,1,2026-09,1.0793,2026,8
14.5,-82.5,1,2026-09,0.7714,2026,8
14.5,-81.5,1,2026-09,0.673,2026,8
14.5,-80.5,1,2026-09,0.644,2026,8
14.5,-79.5,1,2026-09,0.6061,2026,8
14.5,-78.5,1,2026-09,0.5448,2026,8
14.5,-77.5,1,2026-09,0.4711,2026,8
14.5,-76.5,1,2026-09,0.3861,2026,8
14.5,-75.5,1,2026-09,0.3239,2026,8
14.5,-74.5,1,2026-09,0.3153,2026,8
14.5,-73.5,1,2026-09,0.351,2026,8
14.5,-72.5,1,2026-09,0.4289,2026,8
14.5,-71.5,1,2026-09,0.4938,2026,8
14.5,-70.5,1,2026-09,0.527,2026,8
14.5,-69.5,1,2026-09,0.5395,2026,8
14.5,-68.5,1,2026-09,0.5553,2026,8
14.5,-67.5,1,2026-09,0.5839,2026,8
14.5,-66.5,1,2026-09,0.611,2026,8
14.5,-65.5,1,2026-09,0.6273,2026,8
14.5,-64.5,1,2026-09,0.6476,2026,8
14.5,-63.5,1,2026-09,0.6552,2026,8
14.5,-62.5,1,2026-09,0.6486,2026,8
14.5,-61.5,1,2026-09,0.6469,2026,8
14.5,-60.5,1,2026-09,0.6554,2026,8
14.5,-59.5,1,2026-09,0.6383,2026,8
14.5,-58.5,1,2026-09,0.6339,2026,8
14.5,-57.5,1,2026-09,0.6205,2026,8
14.5,-56.5,1,2026-09,0.6064,2026,8
14.5,-55.5,1,2026-09,0.5873,2026,8
14.5,-54.5,1,2026-09,0.5461,2026,8
14.5,-53.5,1,2026-09,0.5116,2026,8
14.5,-52.5,1,2026-09,0.5023,2026,8
14.5,-51.5,1,2026-09,0.5023,2026,8
14.5,-50.5,1,2026-09,0.5341,2026,8
14.5,-49.5,1,2026-09,0.5668,2026,8
14.5,-48.5,1,2026-09,0.5429,2026,8
14.5,-47.5,1,2026-09,0.5109,2026,8
14.5,-46.5,1,2026-09,0.4962,2026,8
14.5,-45.5,1,2026-09,0.4977,2026,8
14.5,-44.5,1,2026-09,0.5077,2026,8
14.5,-43.5,1,2026-09,0.4894,2026,8
14.5,-42.5,1,2026-09,0.4748,2026,8
14.5,-41.5,1,2026-09,0.4906,2026,8
14.5,-40.5,1,2026-09,0.4857,2026,8
14.5,-39.5,1,2026-09,0.507,2026,8
14.5,-38.5,1,2026-09,0.5568,2026,8
14.5,-37.5,1,2026-09,0.6134,2026,8
14.5,-36.5,1,2026-09,0.6442,2026,8
14.5,-35.5,1,2026-09,0.6386,2026,8
14.5,-34.5,1,2026-09,0.622,2026,8
14.5,-33.5,1,2026-09,0.6156,2026,8
14.5,-32.5,1,2026-09,0.6798,2026,8
14.5,-31.5,1,2026-09,0.713,2026,8
14.5,-30.5,1,2026-09,0.7597,2026,8
13.5,-89.5,1,2026-09,2.5985,2026,8
13.5,-88.5,1,2026-09,3.0175,2026,8
13.5,-87.5,1,2026-09,3.0023,2026,8
13.5,-86.5,1,2026-09,1.64,2026,8
13.5,-85.5,1,2026-09,0.9445,2026,8
13.5,-84.5,1,2026-09,1.2211,2026,8
13.5,-83.5,1,2026-09,1.102,2026,8
13.5,-82.5,1,2026-09,0.8424,2026,8
13.5,-81.5,1,2026-09,0.7624,2026,8
13.5,-80.5,1,2026-09,0.6964,2026,8
13.5,-79.5,1,2026-09,0.6256,2026,8
13.5,-78.5,1,2026-09,0.5365,2026,8
13.5,-77.5,1,2026-09,0.4257,2026,8
13.5,-76.5,1,2026-09,0.287,2026,8
13.5,-75.5,1,2026-09,0.1601,2026,8
13.5,-74.5,1,2026-09,0.088,2026,8
13.5,-73.5,1,2026-09,0.0204,2026,8
13.5,-72.5,1,2026-09,0.0578,2026,8
13.5,-71.5,1,2026-09,0.1542,2026,8
13.5,-70.5,1,2026-09,0.3449,2026,8
13.5,-69.5,1,2026-09,0.4821,2026,8
13.5,-68.5,1,2026-09,0.5241,2026,8
13.5,-67.5,1,2026-09,0.5285,2026,8
13.5,-66.5,1,2026-09,0.5297,2026,8
13.5,-65.5,1,2026-09,0.5421,2026,8
13.5,-64.5,1,2026-09,0.5688,2026,8
13.5,-63.5,1,2026-09,0.63,2026,8
13.5,-62.5,1,2026-09,0.6405,2026,8
13.5,-61.5,1,2026-09,0.6444,2026,8
13.5,-60.5,1,2026-09,0.6508,2026,8
13.5,-59.5,1,2026-09,0.6454,2026,8
13.5,-58.5,1,2026-09,0.6503,2026,8
13.5,-57.5,1,2026-09,0.6491,2026,8
13.5,-56.5,1,2026-09,0.6339,2026,8
13.5,-55.5,1,2026-09,0.599,2026,8
13.5,-54.5,1,2026-09,0.5583,2026,8
13.5,-53.5,1,2026-09,0.5231,2026,8
13.5,-52.5,1,2026-09,0.5053,2026,8
13.5,-51.5,1,2026-09,0.5128,2026,8
13.5,-50.5,1,2026-09,0.5592,2026,8
13.5,-49.5,1,2026-09,0.6071,2026,8
13.5,-48.5,1,2026-09,0.6,2026,8
13.5,-47.5,1,2026-09,0.5546,2026,8
13.5,-46.5,1,2026-09,0.5168,2026,8
13.5,-45.5,1,2026-09,0.5063,2026,8
13.5,-44.5,1,2026-09,0.5209,2026,8
13.5,-43.5,1,2026-09,0.4875,2026,8
13.5,-42.5,1,2026-09,0.4599,2026,8
13.5,-41.5,1,2026-09,0.4958,2026,8
13.5,-40.5,1,2026-09,0.5546,2026,8
13.5,-39.5,1,2026-09,0.5993,2026,8
13.5,-38.5,1,2026-09,0.6029,2026,8
13.5,-37.5,1,2026-09,0.6051,2026,8
13.5,-36.5,1,2026-09,0.644,2026,8
13.5,-35.5,1,2026-09,0.6908,2026,8
13.5,-34.5,1,2026-09,0.7287,2026,8
13.5,-33.5,1,2026-09,0.7431,2026,8
13.5,-32.5,1,2026-09,0.7677,2026,8
13.5,-31.5,1,2026-09,0.7397,2026,8
13.5,-30.5,1,2026-09,0.7604,2026,8
12.5,-89.5,1,2026-09,2.1681,2026,8
12.5,-88.5,1,2026-09,2.3588,2026,8
12.5,-87.5,1,2026-09,2.9093,2026,8
12.5,-86.5,1,2026-09,2.8319,2026,8
12.5,-85.5,1,2026-09,1.4616,2026,8
12.5,-84.5,1,2026-09,1.234,2026,8
12.5,-83.5,1,2026-09,1.1064,2026,8
12.5,-82.5,1,2026-09,0.9013,2026,8
12.5,-81.5,1,2026-09,0.8559,2026,8
12.5,-80.5,1,2026-09,0.797,2026,8
12.5,-79.5,1,2026-09,0.7472,2026,8
12.5,-78.5,1,2026-09,0.7021,2026,8
12.5,-77.5,1,2026-09,0.633,2026,8
12.5,-76.5,1,2026-09,0.4867,2026,8
12.5,-75.5,1,2026-09,0.2646,2026,8
12.5,-74.5,1,2026-09,0.0981,2026,8
12.5,-73.5,1,2026-09,-0.0074,2026,8
12.5,-72.5,1,2026-09,-0.148,2026,8
12.5,-71.5,1,2026-09,0.1022,2026,8
12.5,-70.5,1,2026-09,0.1498,2026,8
12.5,-69.5,1,2026-09,0.3771,2026,8
12.5,-68.5,1,2026-09,0.4853,2026,8
12.5,-67.5,1,2026-09,0.4792,2026,8
12.5,-66.5,1,2026-09,0.4628,2026,8
12.5,-65.5,1,2026-09,0.404,2026,8
12.5,-64.5,1,2026-09,0.3612,2026,8
12.5,-63.5,1,2026-09,0.4833,2026,8
12.5,-62.5,1,2026-09,0.6242,2026,8
12.5,-61.5,1,2026-09,0.6422,2026,8
12.5,-60.5,1,2026-09,0.651,2026,8
12.5,-59.5,1,2026-09,0.6623,2026,8
12.5,-58.5,1,2026-09,0.675,2026,8
12.5,-57.5,1,2026-09,0.6862,2026,8
12.5,-56.5,1,2026-09,0.6742,2026,8
12.5,-55.5,1,2026-09,0.6252,2026,8
12.5,-54.5,1,2026-09,0.5805,2026,8
12.5,-53.5,1,2026-09,0.5597,2026,8
12.5,-52.5,1,2026-09,0.5478,2026,8
12.5,-51.5,1,2026-09,0.5722,2026,8
12.5,-50.5,1,2026-09,0.6181,2026,8
12.5,-49.5,1,2026-09,0.6442,2026,8
12.5,-48.5,1,2026-09,0.632,2026,8
12.5,-47.5,1,2026-09,0.5832,2026,8
12.5,-46.5,1,2026-09,0.5343,2026,8
12.5,-45.5,1,2026-09,0.5385,2026,8
12.5,-44.5,1,2026-09,0.547,2026,8
12.5,-43.5,1,2026-09,0.4894,2026,8
12.5,-42.5,1,2026-09,0.4538,2026,8
12.5,-41.5,1,2026-09,0.4691,2026,8
12.5,-40.5,1,2026-09,0.5373,2026,8
12.5,-39.5,1,2026-09,0.6188,2026,8
12.5,-38.5,1,2026-09,0.6698,2026,8
12.5,-37.5,1,2026-09,0.6366,2026,8
12.5,-36.5,1,2026-09,0.6335,2026,8
12.5,-35.5,1,2026-09,0.6669,2026,8
12.5,-34.5,1,2026-09,0.7069,2026,8
12.5,-33.5,1,2026-09,0.7621,2026,8
12.5,-32.5,1,2026-09,0.7733,2026,8
12.5,-31.5,1,2026-09,0.7445,2026,8
12.5,-30.5,1,2026-09,0.7533,2026,8
11.5,-89.5,1,2026-09,2.154,2026,8
11.5,-88.5,1,2026-09,2.2016,2026,8
11.5,-87.5,1,2026-09,2.1381,2026,8
11.5,-86.5,1,2026-09,1.965,2026,8
11.5,-85.5,1,2026-09,1.5373,2026,8
11.5,-84.5,1,2026-09,1.2135,2026,8
11.5,-83.5,1,2026-09,0.8734,2026,8
11.5,-82.5,1,2026-09,0.8859,2026,8
11.5,-81.5,1,2026-09,0.9223,2026,8
11.5,-80.5,1,2026-09,0.9025,2026,8
11.5,-79.5,1,2026-09,0.8857,2026,8
11.5,-78.5,1,2026-09,0.8673,2026,8
11.5,-77.5,1,2026-09,0.8503,2026,8
11.5,-76.5,1,2026-09,0.7672,2026,8
