year,season,oni
1950,DJF,-1.53
1950,JFM,-1.34
1950,FMA,-1.16
1950,MAM,-1.18
1950,AMJ,-1.07
1950,MJJ,-0.85
1950,JJA,-0.54
1950,JAS,-0.42
1950,ASO,-0.39
1950,SON,-0.44
1950,OND,-0.6
1950,NDJ,-0.8
1951,DJF,-0.82
1951,JFM,-0.54
1951,FMA,-0.17
1951,MAM,0.18
1951,AMJ,0.36
1951,MJJ,0.58
1951,JJA,0.7
1951,JAS,0.89
1951,ASO,0.99
1951,SON,1.15
1951,OND,1.04
1951,NDJ,0.81
1952,DJF,0.53
1952,JFM,0.37
1952,FMA,0.34
1952,MAM,0.29
1952,AMJ,0.2
1952,MJJ,0.0
1952,JJA,-0.08
1952,JAS,0.0
1952,ASO,0.15
1952,SON,0.1
1952,OND,0.04
1952,NDJ,0.15
1953,DJF,0.4
1953,JFM,0.6
1953,FMA,0.63
1953,MAM,0.66
1953,AMJ,0.75
1953,MJJ,0.77
1953,JJA,0.75
1953,JAS,0.73
1953,ASO,0.78
1953,SON,0.84
1953,OND,0.84
1953,NDJ,0.81
1954,DJF,0.76
1954,JFM,0.47
1954,FMA,-0.05
1954,MAM,-0.41
1954,AMJ,-0.54
1954,MJJ,-0.5
1954,JJA,-0.64
1954,JAS,-0.84
1954,ASO,-0.9
1954,SON,-0.77
1954,OND,-0.73
1954,NDJ,-0.66
1955,DJF,-0.68
1955,JFM,-0.62
1955,FMA,-0.69
1955,MAM,-0.8
1955,AMJ,-0.79
1955,MJJ,-0.72
1955,JJA,-0.68
1955,JAS,-0.75
1955,ASO,-1.09
1955,SON,-1.42
1955,OND,-1.67
1955,NDJ,-1.47
1956,DJF,-1.11
1956,JFM,-0.76
1956,FMA,-0.63
1956,MAM,-0.54
1956,AMJ,-0.52
1956,MJJ,-0.51
1956,JJA,-0.57
1956,JAS,-0.55
1956,ASO,-0.46
1956,SON,-0.42
1956,OND,-0.43
1956,NDJ,-0.43
1957,DJF,-0.25
1957,JFM,0.06
1957,FMA,0.41
1957,MAM,0.72
1957,AMJ,0.92
1957,MJJ,1.11
1957,JJA,1.25
1957,JAS,1.32
1957,ASO,1.33
1957,SON,1.39
1957,OND,1.53
1957,NDJ,1.74
1958,DJF,1.81
1958,JFM,1.66
1958,FMA,1.27
1958,MAM,0.93
1958,AMJ,0.74
1958,MJJ,0.64
1958,JJA,0.57
1958,JAS,0.43
1958,ASO,0.39
1958,SON,0.44
1958,OND,0.5
1958,NDJ,0.61
1959,DJF,0.61
1959,JFM,0.62
1959,FMA,0.52
1959,MAM,0.33
1959,AMJ,0.2
1959,MJJ,-0.07
1959,JJA,-0.18
1959,JAS,-0.28
1959,ASO,-0.09
1959,SON,-0.03
1959,OND,0.05
1959,NDJ,-0.04
1960,DJF,-0.1
1960,JFM,-0.1
1960,FMA,-0.07
1960,MAM,0.03
1960,AMJ,0.02
1960,MJJ,0.03
1960,JJA,0.13
1960,JAS,0.24
1960,ASO,0.27
1960,SON,0.2
1960,OND,0.12
1960,NDJ,0.05
1961,DJF,0.04
1961,JFM,0.03
1961,FMA,0.04
1961,MAM,0.09
1961,AMJ,0.23
1961,MJJ,0.27
1961,JJA,0.14
1961,JAS,-0.13
1961,ASO,-0.3
1961,SON,-0.26
1961,OND,-0.19
1961,NDJ,-0.16
1962,DJF,-0.24
1962,JFM,-0.22
1962,FMA,-0.2
1962,MAM,-0.26
1962,AMJ,-0.28
1962,MJJ,-0.2
1962,JJA,-0.04
1962,JAS,-0.07
1962,ASO,-0.11
1962,SON,-0.22
1962,OND,-0.31
1962,NDJ,-0.43
1963,DJF,-0.4
1963,JFM,-0.15
1963,FMA,0.15
1963,MAM,0.27
1963,AMJ,0.31
1963,MJJ,0.52
1963,JJA,0.86
1963,JAS,1.14
1963,ASO,1.22
1963,SON,1.29
