lat,lon,sst,anom,date
-77.875,166.125,-1.795,-0.232,2026-06
-77.875,168.125,-1.797,-0.168,2026-06
-77.875,170.125,-1.761,-0.223,2026-06
-77.875,172.125,-1.708,-0.199,2026-06
-77.875,174.125,-1.686,-0.204,2026-06
-77.875,176.125,-1.701,-0.205,2026-06
-77.875,178.125,-1.7,-0.187,2026-06
-77.875,-179.875,-1.673,-0.127,2026-06
-77.875,-177.875,-1.692,-0.105,2026-06
-77.875,-175.875,-1.758,-0.118,2026-06
-77.875,-173.875,-1.766,-0.087,2026-06
-77.875,-171.875,-1.785,-0.07,2026-06
-77.875,-169.875,-1.79,-0.074,2026-06
-77.875,-167.875,-1.796,-0.056,2026-06
-77.875,-165.875,-1.795,-0.039,2026-06
-77.875,-163.875,-1.783,-0.032,2026-06
-77.875,-161.875,-1.769,-0.035,2026-06
-77.875,-159.875,-1.711,-0.047,2026-06
-77.875,-79.875,-1.726,0.0,2026-06
-77.875,-77.875,-1.74,0.0,2026-06
-77.875,-71.875,-1.686,-0.0,2026-06
-77.875,-69.875,-1.679,0.0,2026-06
-77.875,-67.875,-1.674,0.0,2026-06
-77.875,-65.875,-1.668,0.002,2026-06
-77.875,-63.875,-1.66,0.012,2026-06
-77.875,-61.875,-1.639,0.04,2026-06
-77.875,-59.875,-1.64,0.035,2026-06
-77.875,-57.875,-1.632,0.042,2026-06
-77.875,-55.875,-1.683,-0.012,2026-06
-77.875,-53.875,-1.742,-0.083,2026-06
-77.875,-51.875,-1.78,-0.099,2026-06
-77.875,-49.875,-1.783,-0.134,2026-06
-77.875,-47.875,-1.79,-0.135,2026-06
-77.875,-45.875,-1.729,-0.051,2026-06
-77.875,-43.875,-1.771,-0.049,2026-06
-77.875,-41.875,-1.771,-0.032,2026-06
-77.875,-39.875,-1.758,-0.014,2026-06
-77.875,-37.875,-1.774,-0.052,2026-06
-77.875,-35.875,-1.772,-0.084,2026-06
-75.875,164.125,-1.784,-0.131,2026-06
-75.875,166.125,-1.787,-0.076,2026-06
-75.875,168.125,-1.799,-0.072,2026-06
-75.875,170.125,-1.8,-0.087,2026-06
-75.875,172.125,-1.786,-0.117,2026-06
-75.875,174.125,-1.776,-0.113,2026-06
-75.875,176.125,-1.786,-0.104,2026-06
-75.875,178.125,-1.79,-0.083,2026-06
-75.875,-179.875,-1.8,-0.074,2026-06
-75.875,-177.875,-1.8,-0.06,2026-06
-75.875,-175.875,-1.8,-0.05,2026-06
-75.875,-173.875,-1.8,-0.048,2026-06
-75.875,-171.875,-1.8,-0.051,2026-06
-75.875,-169.875,-1.8,-0.053,2026-06
-75.875,-167.875,-1.8,-0.054,2026-06
-75.875,-165.875,-1.797,-0.044,2026-06
-75.875,-163.875,-1.8,-0.043,2026-06
-75.875,-161.875,-1.8,-0.043,2026-06
-75.875,-159.875,-1.8,-0.046,2026-06
-75.875,-157.875,-1.771,-0.02,2026-06
-75.875,-155.875,-1.779,-0.026,2026-06
