lat,lon,trend,period
-77.875,-179.875,70.8745,1993-2026
-77.875,-175.875,63.7993,1993-2026
-77.875,-173.875,60.919,1993-2026
-77.875,-163.875,41.5168,1993-2026
-77.875,-161.875,44.8387,1993-2026
-77.875,-159.875,40.1664,1993-2026
-77.875,174.125,56.6096,1993-2026
-77.875,176.125,56.7271,1993-2026
-75.875,-179.875,50.8441,1993-2026
-75.875,-177.875,52.353,1993-2026
-75.875,170.125,38.1637,1993-2026
-75.875,172.125,40.5527,1993-2026
-75.875,174.125,42.0214,1993-2026
-75.875,176.125,40.4725,1993-2026
-75.875,178.125,40.4313,1993-2026
-73.875,-179.875,36.7968,1993-2026
-73.875,-117.875,17.5017,1993-2026
-73.875,-115.875,16.6019,1993-2026
-73.875,-113.875,15.2685,1993-2026
-73.875,-111.875,13.6245,1993-2026
-73.875,172.125,35.4401,1993-2026
-73.875,174.125,32.8367,1993-2026
-73.875,176.125,33.7466,1993-2026
-73.875,178.125,35.5309,1993-2026
-71.875,-179.875,26.9315,1993-2026
-71.875,-177.875,33.0973,1993-2026
-71.875,170.125,29.0883,1993-2026
-71.875,172.125,31.2021,1993-2026
-71.875,174.125,28.3098,1993-2026
-71.875,176.125,29.9511,1993-2026
-71.875,178.125,27.107,1993-2026
-69.875,-179.875,19.6589,1993-2026
-69.875,-177.875,28.5599,1993-2026
-69.875,-167.875,20.7637,1993-2026
-69.875,-165.875,20.1152,1993-2026
-69.875,-163.875,21.3463,1993-2026
-69.875,-161.875,22.5322,1993-2026
-69.875,-159.875,22.2949,1993-2026
-69.875,-157.875,21.989,1993-2026
-69.875,-155.875,23.3752,1993-2026
-69.875,-153.875,26.2237,1993-2026
-69.875,-151.875,20.1495,1993-2026
-69.875,-149.875,17.9817,1993-2026
-69.875,-147.875,17.848,1993-2026
-69.875,-145.875,21.3415,1993-2026
-69.875,-143.875,25.9082,1993-2026
-69.875,-141.875,21.2215,1993-2026
-69.875,-139.875,17.7011,1993-2026
-69.875,-137.875,10.0984,1993-2026
-69.875,-135.875,9.4607,1993-2026
-69.875,-133.875,13.1222,1993-2026
-69.875,-131.875,6.6937,1993-2026
-69.875,-121.875,21.1566,1993-2026
-69.875,-119.875,14.1467,1993-2026
-69.875,-117.875,12.2697,1993-2026
-69.875,-115.875,9.636,1993-2026
-69.875,-113.875,7.4652,1993-2026
-69.875,-111.875,3.5807,1993-2026
-69.875,-109.875,1.1583,1993-2026
-69.875,-107.875,7.9739,1993-2026
-69.875,-105.875,14.7432,1993-2026
-69.875,-101.875,11.178,1993-2026
-69.875,-99.875,17.4433,1993-2026
-69.875,-97.875,10.25,1993-2026
