lat,lon,trend,period
-77.875,166.125,-0.0615,1982-2026
-77.875,168.125,-0.0626,1982-2026
-77.875,170.125,-0.0485,1982-2026
-77.875,172.125,-0.0374,1982-2026
-77.875,174.125,-0.0768,1982-2026
-77.875,176.125,-0.0747,1982-2026
-77.875,178.125,-0.0943,1982-2026
-77.875,-179.875,-0.1112,1982-2026
-77.875,-177.875,-0.1082,1982-2026
-77.875,-175.875,-0.0914,1982-2026
-77.875,-173.875,-0.0738,1982-2026
-77.875,-171.875,-0.058,1982-2026
-77.875,-169.875,-0.0617,1982-2026
-77.875,-167.875,-0.0472,1982-2026
-77.875,-165.875,-0.0394,1982-2026
-77.875,-163.875,-0.047,1982-2026
-77.875,-161.875,-0.0488,1982-2026
-77.875,-159.875,-0.0584,1982-2026
-77.875,-79.875,0.0006,1982-2026
-77.875,-77.875,0.0005,1982-2026
-77.875,-71.875,0.0009,1982-2026
-77.875,-69.875,0.001,1982-2026
-77.875,-67.875,0.0009,1982-2026
-77.875,-65.875,-0.0004,1982-2026
-77.875,-63.875,-0.004,1982-2026
-77.875,-61.875,-0.0087,1982-2026
-77.875,-59.875,-0.0154,1982-2026
-77.875,-57.875,-0.0243,1982-2026
-77.875,-55.875,-0.0485,1982-2026
-77.875,-53.875,-0.0486,1982-2026
-77.875,-51.875,-0.0421,1982-2026
-77.875,-49.875,-0.0895,1982-2026
-77.875,-47.875,-0.0975,1982-2026
-77.875,-45.875,-0.0754,1982-2026
-77.875,-43.875,-0.0486,1982-2026
-77.875,-41.875,-0.0436,1982-2026
-77.875,-39.875,-0.0367,1982-2026
-77.875,-37.875,-0.0353,1982-2026
-77.875,-35.875,-0.0429,1982-2026
-75.875,164.125,-0.0625,1982-2026
-75.875,166.125,-0.0384,1982-2026
-75.875,168.125,-0.0581,1982-2026
-75.875,170.125,-0.0613,1982-2026
-75.875,172.125,-0.0483,1982-2026
-75.875,174.125,-0.043,1982-2026
-75.875,176.125,-0.0463,1982-2026
-75.875,178.125,-0.0477,1982-2026
-75.875,-179.875,-0.0516,1982-2026
-75.875,-177.875,-0.0451,1982-2026
-75.875,-175.875,-0.0335,1982-2026
-75.875,-173.875,-0.0245,1982-2026
-75.875,-171.875,-0.0233,1982-2026
-75.875,-169.875,-0.021,1982-2026
-75.875,-167.875,-0.0136,1982-2026
-75.875,-165.875,-0.0107,1982-2026
-75.875,-163.875,-0.005,1982-2026
-75.875,-161.875,-0.0059,1982-2026
-75.875,-159.875,-0.0057,1982-2026
-75.875,-157.875,0.0021,1982-2026
-75.875,-155.875,0.0017,1982-2026
-75.875,-153.875,0.0021,1982-2026
-75.875,-151.875,-0.0203,1982-2026
-75.875,-149.875,-0.0383,1982-2026
-75.875,-147.875,-0.0545,1982-2026
-75.875,-145.875,-0.0677,1982-2026
-75.875,-63.875,-0.0817,1982-2026
-75.875,-61.875,-0.0912,1982-2026
-75.875,-59.875,-0.1033,1982-2026
-75.875,-57.875,-0.097,1982-2026
-75.875,-55.875,-0.0866,1982-2026
-75.875,-53.875,-0.0615,1982-2026
-75.875,-51.875,-0.0389,1982-2026
-75.875,-49.875,-0.0359,1982-2026
-75.875,-47.875,-0.0395,1982-2026
-75.875,-45.875,-0.046,1982-2026
-75.875,-43.875,-0.0477,1982-2026
-75.875,-41.875,-0.044,1982-2026
-75.875,-39.875,-0.0435,1982-2026
-75.875,-37.875,-0.0351,1982-2026
-75.875,-35.875,-0.0323,1982-2026
-75.875,-33.875,-0.0282,1982-2026
-75.875,-31.875,-0.0256,1982-2026
-75.875,-29.875,-0.0329,1982-2026
-75.875,-27.875,-0.0545,1982-2026
-75.875,-25.875,-0.0831,1982-2026
-75.875,-23.875,-0.0781,1982-2026
-75.875,-21.875,-0.066,1982-2026
-73.875,166.125,-0.0601,1982-2026
-73.875,168.125,-0.0543,1982-2026
-73.875,170.125,-0.0481,1982-2026
-73.875,172.125,-0.0471,1982-2026
-73.875,174.125,-0.0428,1982-2026
-73.875,176.125,-0.0382,1982-2026
-73.875,178.125,-0.0418,1982-2026
-73.875,-179.875,-0.0504,1982-2026
-73.875,-177.875,-0.0465,1982-2026
-73.875,-175.875,-0.0357,1982-2026
-73.875,-173.875,-0.0298,1982-2026
-73.875,-171.875,-0.0209,1982-2026
-73.875,-169.875,-0.0157,1982-2026
-73.875,-167.875,-0.0104,1982-2026
-73.875,-165.875,-0.0087,1982-2026
-73.875,-163.875,-0.0098,1982-2026
-73.875,-161.875,-0.0099,1982-2026
-73.875,-159.875,-0.0119,1982-2026
-73.875,-157.875,-0.0116,1982-2026
-73.875,-155.875,-0.0068,1982-2026
-73.875,-153.875,-0.0053,1982-2026
-73.875,-151.875,0.0019,1982-2026
-73.875,-149.875,0.0073,1982-2026
-73.875,-147.875,0.0083,1982-2026
-73.875,-145.875,0.007,1982-2026
-73.875,-143.875,0.0069,1982-2026
-73.875,-141.875,0.0103,1982-2026
-73.875,-139.875,0.0057,1982-2026
-73.875,-137.875,0.0104,1982-2026
-73.875,-135.875,0.004,1982-2026
-73.875,-133.875,-0.0092,1982-2026
-73.875,-131.875,-0.0177,1982-2026
-73.875,-129.875,-0.0264,1982-2026
-73.875,-127.875,-0.0391,1982-2026
-73.875,-125.875,-0.0697,1982-2026
-73.875,-123.875,-0.0483,1982-2026
-73.875,-117.875,-0.0464,1982-2026
-73.875,-115.875,-0.0309,1982-2026
-73.875,-113.875,-0.0439,1982-2026
-73.875,-111.875,-0.0307,1982-2026
-73.875,-109.875,-0.0677,1982-2026
-73.875,-107.875,-0.0327,1982-2026
-73.875,-105.875,-0.0308,1982-2026
-73.875,-103.875,-0.0402,1982-2026
-73.875,-81.875,-0.1043,1982-2026
-73.875,-59.875,-0.0575,1982-2026
-73.875,-57.875,-0.0331,1982-2026
-73.875,-55.875,-0.0295,1982-2026
-73.875,-53.875,-0.026,1982-2026
-73.875,-51.875,-0.0223,1982-2026
-73.875,-49.875,-0.0207,1982-2026
-73.875,-47.875,-0.021,1982-2026
-73.875,-45.875,-0.0232,1982-2026
-73.875,-43.875,-0.0271,1982-2026
-73.875,-41.875,-0.0315,1982-2026
-73.875,-39.875,-0.0342,1982-2026
-73.875,-37.875,-0.0383,1982-2026
-73.875,-35.875,-0.0519,1982-2026
-73.875,-33.875,-0.0575,1982-2026
-73.875,-31.875,-0.0565,1982-2026
-73.875,-29.875,-0.0579,1982-2026
-73.875,-27.875,-0.0589,1982-2026
-73.875,-25.875,-0.07,1982-2026
-73.875,-23.875,-0.0814,1982-2026
-73.875,-21.875,-0.0792,1982-2026
-73.875,-19.875,-0.0578,1982-2026
-73.875,-17.875,-0.0555,1982-2026
-71.875,68.125,0.0002,1982-2026
-71.875,70.125,-0.0029,1982-2026
-71.875,172.125,-0.0714,1982-2026
-71.875,174.125,-0.0505,1982-2026
-71.875,176.125,-0.0417,1982-2026
-71.875,178.125,-0.0379,1982-2026
-71.875,-179.875,-0.0348,1982-2026
-71.875,-177.875,-0.028,1982-2026
-71.875,-175.875,-0.0236,1982-2026
-71.875,-173.875,-0.018,1982-2026
-71.875,-171.875,-0.0139,1982-2026
-71.875,-169.875,-0.0106,1982-2026
-71.875,-167.875,-0.0141,1982-2026
-71.875,-165.875,-0.0106,1982-2026
-71.875,-163.875,-0.0113,1982-2026
-71.875,-161.875,-0.0122,1982-2026
-71.875,-159.875,-0.0091,1982-2026
-71.875,-157.875,-0.0026,1982-2026
-71.875,-155.875,0.0011,1982-2026
-71.875,-153.875,-0.0075,1982-2026
-71.875,-151.875,-0.0083,1982-2026
-71.875,-149.875,-0.0051,1982-2026
-71.875,-147.875,0.0017,1982-2026
-71.875,-145.875,-0.0021,1982-2026
-71.875,-143.875,-0.0038,1982-2026
-71.875,-141.875,-0.0035,1982-2026
-71.875,-139.875,-0.0014,1982-2026
-71.875,-137.875,-0.0018,1982-2026
-71.875,-135.875,0.0002,1982-2026
-71.875,-133.875,-0.0044,1982-2026
-71.875,-131.875,-0.0082,1982-2026
-71.875,-129.875,-0.014,1982-2026
-71.875,-127.875,-0.0152,1982-2026
-71.875,-125.875,-0.0135,1982-2026
-71.875,-123.875,-0.0127,1982-2026
-71.875,-121.875,-0.0213,1982-2026
-71.875,-119.875,-0.0261,1982-2026
-71.875,-117.875,-0.0301,1982-2026
-71.875,-115.875,-0.0344,1982-2026
-71.875,-113.875,-0.0385,1982-2026
-71.875,-111.875,-0.0417,1982-2026
-71.875,-109.875,-0.0406,1982-2026
-71.875,-107.875,-0.0454,1982-2026
-71.875,-105.875,-0.0537,1982-2026
-71.875,-103.875,-0.0564,1982-2026
-71.875,-101.875,-0.0553,1982-2026
-71.875,-99.875,-0.0508,1982-2026
-71.875,-97.875,-0.0613,1982-2026
-71.875,-95.875,-0.0479,1982-2026
-71.875,-93.875,-0.0129,1982-2026
-71.875,-91.875,0.006,1982-2026
-71.875,-89.875,0.0143,1982-2026
-71.875,-87.875,0.0223,1982-2026
-71.875,-85.875,0.03,1982-2026
-71.875,-83.875,0.0348,1982-2026
-71.875,-81.875,0.0322,1982-2026
-71.875,-79.875,0.0298,1982-2026
-71.875,-77.875,0.0157,1982-2026
-71.875,-75.875,-0.0439,1982-2026
-71.875,-71.875,-0.1216,1982-2026
-71.875,-67.875,-0.0155,1982-2026
-71.875,-61.875,-0.1369,1982-2026
-71.875,-59.875,-0.0649,1982-2026
-71.875,-57.875,-0.0226,1982-2026
-71.875,-55.875,-0.0205,1982-2026
-71.875,-53.875,-0.0211,1982-2026
-71.875,-51.875,-0.0208,1982-2026
-71.875,-49.875,-0.0221,1982-2026
-71.875,-47.875,-0.0236,1982-2026
-71.875,-45.875,-0.0248,1982-2026
-71.875,-43.875,-0.0256,1982-2026
-71.875,-41.875,-0.0276,1982-2026
-71.875,-39.875,-0.0306,1982-2026
-71.875,-37.875,-0.0277,1982-2026
-71.875,-35.875,-0.0284,1982-2026
-71.875,-33.875,-0.0302,1982-2026
-71.875,-31.875,-0.0347,1982-2026
-71.875,-29.875,-0.0416,1982-2026
-71.875,-27.875,-0.0468,1982-2026
-71.875,-25.875,-0.0533,1982-2026
-71.875,-23.875,-0.0554,1982-2026
-71.875,-21.875,-0.0561,1982-2026
-71.875,-19.875,-0.0517,1982-2026
-71.875,-17.875,-0.0549,1982-2026
-71.875,-15.875,-0.0618,1982-2026
-71.875,-13.875,-0.0598,1982-2026
-71.875,-11.875,-0.0594,1982-2026
-69.875,0.125,-0.0452,1982-2026
-69.875,2.125,-0.0431,1982-2026
-69.875,4.125,-0.0521,1982-2026
-69.875,6.125,-0.0443,1982-2026
-69.875,8.125,-0.0423,1982-2026
-69.875,10.125,-0.0504,1982-2026
-69.875,12.125,-0.0469,1982-2026
-69.875,14.125,-0.0652,1982-2026
-69.875,16.125,-0.0598,1982-2026
-69.875,18.125,-0.058,1982-2026
-69.875,20.125,-0.0461,1982-2026
-69.875,22.125,-0.0456,1982-2026
-69.875,24.125,-0.0397,1982-2026
