lat,lon,trend,period
90.0,0.0,0.5666,1982-2026
90.0,2.5,0.5666,1982-2026
90.0,5.0,0.5666,1982-2026
90.0,7.5,0.5666,1982-2026
90.0,10.0,0.5666,1982-2026
90.0,12.5,0.5666,1982-2026
90.0,15.0,0.5666,1982-2026
90.0,17.5,0.5666,1982-2026
90.0,20.0,0.5666,1982-2026
90.0,22.5,0.5666,1982-2026
90.0,25.0,0.5666,1982-2026
90.0,27.5,0.5666,1982-2026
90.0,30.0,0.5666,1982-2026
90.0,32.5,0.5666,1982-2026
90.0,35.0,0.5666,1982-2026
90.0,37.5,0.5666,1982-2026
90.0,40.0,0.5666,1982-2026
90.0,42.5,0.5666,1982-2026
90.0,45.0,0.5666,1982-2026
90.0,47.5,0.5666,1982-2026
90.0,50.0,0.5666,1982-2026
90.0,52.5,0.5666,1982-2026
90.0,55.0,0.5666,1982-2026
90.0,57.5,0.5666,1982-2026
90.0,60.0,0.5666,1982-2026
90.0,62.5,0.5666,1982-2026
90.0,65.0,0.5666,1982-2026
90.0,67.5,0.5666,1982-2026
90.0,70.0,0.5666,1982-2026
90.0,72.5,0.5666,1982-2026
90.0,75.0,0.5666,1982-2026
90.0,77.5,0.5666,1982-2026
90.0,80.0,0.5666,1982-2026
90.0,82.5,0.5666,1982-2026
90.0,85.0,0.5666,1982-2026
90.0,87.5,0.5666,1982-2026
90.0,90.0,0.5666,1982-2026
90.0,92.5,0.5666,1982-2026
90.0,95.0,0.5666,1982-2026
90.0,97.5,0.5666,1982-2026
90.0,100.0,0.5666,1982-2026
90.0,102.5,0.5666,1982-2026
90.0,105.0,0.5666,1982-2026
90.0,107.5,0.5666,1982-2026
90.0,110.0,0.5666,1982-2026
90.0,112.5,0.5666,1982-2026
90.0,115.0,0.5666,1982-2026
90.0,117.5,0.5666,1982-2026
90.0,120.0,0.5666,1982-2026
90.0,122.5,0.5666,1982-2026
90.0,125.0,0.5666,1982-2026
90.0,127.5,0.5666,1982-2026
90.0,130.0,0.5666,1982-2026
90.0,132.5,0.5666,1982-2026
90.0,135.0,0.5666,1982-2026
90.0,137.5,0.5666,1982-2026
90.0,140.0,0.5666,1982-2026
90.0,142.5,0.5666,1982-2026
90.0,145.0,0.5666,1982-2026
90.0,147.5,0.5666,1982-2026
90.0,150.0,0.5666,1982-2026
90.0,152.5,0.5666,1982-2026
90.0,155.0,0.5666,1982-2026
90.0,157.5,0.5666,1982-2026
90.0,160.0,0.5666,1982-2026
90.0,162.5,0.5666,1982-2026
90.0,165.0,0.5666,1982-2026
90.0,167.5,0.5666,1982-2026
90.0,170.0,0.5666,1982-2026
90.0,172.5,0.5666,1982-2026
90.0,175.0,0.5666,1982-2026
90.0,177.5,0.5666,1982-2026
90.0,180.0,0.5666,1982-2026
90.0,-177.5,0.5666,1982-2026
90.0,-175.0,0.5666,1982-2026
90.0,-172.5,0.5666,1982-2026
90.0,-170.0,0.5666,1982-2026
90.0,-167.5,0.5666,1982-2026
90.0,-165.0,0.5666,1982-2026
90.0,-162.5,0.5666,1982-2026
90.0,-160.0,0.5666,1982-2026
90.0,-157.5,0.5666,1982-2026
90.0,-155.0,0.5666,1982-2026
90.0,-152.5,0.5666,1982-2026
90.0,-150.0,0.5666,1982-2026
90.0,-147.5,0.5666,1982-2026
90.0,-145.0,0.5666,1982-2026
90.0,-142.5,0.5666,1982-2026
90.0,-140.0,0.5666,1982-2026
90.0,-137.5,0.5666,1982-2026
90.0,-135.0,0.5666,1982-2026
90.0,-132.5,0.5666,1982-2026
90.0,-130.0,0.5666,1982-2026
90.0,-127.5,0.5666,1982-2026
90.0,-125.0,0.5666,1982-2026
90.0,-122.5,0.5666,1982-2026
90.0,-120.0,0.5666,1982-2026
90.0,-117.5,0.5666,1982-2026
90.0,-115.0,0.5666,1982-2026
90.0,-112.5,0.5666,1982-2026
90.0,-110.0,0.5666,1982-2026
90.0,-107.5,0.5666,1982-2026
90.0,-105.0,0.5666,1982-2026
90.0,-102.5,0.5666,1982-2026
90.0,-100.0,0.5666,1982-2026
90.0,-97.5,0.5666,1982-2026
90.0,-95.0,0.5666,1982-2026
90.0,-92.5,0.5666,1982-2026
90.0,-90.0,0.5666,1982-2026
90.0,-87.5,0.5666,1982-2026
90.0,-85.0,0.5666,1982-2026
90.0,-82.5,0.5666,1982-2026
90.0,-80.0,0.5666,1982-2026
90.0,-77.5,0.5666,1982-2026
90.0,-75.0,0.5666,1982-2026
90.0,-72.5,0.5666,1982-2026
90.0,-70.0,0.5666,1982-2026
90.0,-67.5,0.5666,1982-2026
90.0,-65.0,0.5666,1982-2026
90.0,-62.5,0.5666,1982-2026
90.0,-60.0,0.5666,1982-2026
90.0,-57.5,0.5666,1982-2026
90.0,-55.0,0.5666,1982-2026
90.0,-52.5,0.5666,1982-2026
90.0,-50.0,0.5666,1982-2026
90.0,-47.5,0.5666,1982-2026
90.0,-45.0,0.5666,1982-2026
90.0,-42.5,0.5666,1982-2026
90.0,-40.0,0.5666,1982-2026
90.0,-37.5,0.5666,1982-2026
90.0,-35.0,0.5666,1982-2026
90.0,-32.5,0.5666,1982-2026
90.0,-30.0,0.5666,1982-2026
90.0,-27.5,0.5666,1982-2026
90.0,-25.0,0.5666,1982-2026
90.0,-22.5,0.5666,1982-2026
90.0,-20.0,0.5666,1982-2026
90.0,-17.5,0.5666,1982-2026
90.0,-15.0,0.5666,1982-2026
90.0,-12.5,0.5666,1982-2026
90.0,-10.0,0.5666,1982-2026
90.0,-7.5,0.5666,1982-2026
90.0,-5.0,0.5666,1982-2026
90.0,-2.5,0.5666,1982-2026
87.5,0.0,0.4214,1982-2026
87.5,2.5,0.4277,1982-2026
87.5,5.0,0.4339,1982-2026
87.5,7.5,0.4383,1982-2026
87.5,10.0,0.4428,1982-2026
87.5,12.5,0.4469,1982-2026
87.5,15.0,0.4513,1982-2026
87.5,17.5,0.456,1982-2026
87.5,20.0,0.461,1982-2026
87.5,22.5,0.4653,1982-2026
87.5,25.0,0.4698,1982-2026
87.5,27.5,0.4742,1982-2026
87.5,30.0,0.4786,1982-2026
87.5,32.5,0.4837,1982-2026
87.5,35.0,0.4885,1982-2026
87.5,37.5,0.4921,1982-2026
87.5,40.0,0.4957,1982-2026
87.5,42.5,0.4987,1982-2026
87.5,45.0,0.5019,1982-2026
87.5,47.5,0.5052,1982-2026
87.5,50.0,0.5084,1982-2026
87.5,52.5,0.5121,1982-2026
87.5,55.0,0.5158,1982-2026
87.5,57.5,0.5213,1982-2026
87.5,60.0,0.527,1982-2026
87.5,62.5,0.5328,1982-2026
87.5,65.0,0.5383,1982-2026
87.5,67.5,0.5437,1982-2026
87.5,70.0,0.5494,1982-2026
87.5,72.5,0.5557,1982-2026
87.5,75.0,0.5617,1982-2026
87.5,77.5,0.5667,1982-2026
87.5,80.0,0.5721,1982-2026
87.5,82.5,0.5764,1982-2026
87.5,85.0,0.5811,1982-2026
87.5,87.5,0.5857,1982-2026
87.5,90.0,0.5903,1982-2026
87.5,92.5,0.596,1982-2026
87.5,95.0,0.6014,1982-2026
87.5,97.5,0.6071,1982-2026
87.5,100.0,0.6129,1982-2026
87.5,102.5,0.6168,1982-2026
87.5,105.0,0.6208,1982-2026
87.5,107.5,0.6245,1982-2026
87.5,110.0,0.6281,1982-2026
87.5,112.5,0.6315,1982-2026
87.5,115.0,0.6347,1982-2026
87.5,117.5,0.637,1982-2026
87.5,120.0,0.6394,1982-2026
87.5,122.5,0.6421,1982-2026
87.5,125.0,0.6443,1982-2026
87.5,127.5,0.6462,1982-2026
87.5,130.0,0.6479,1982-2026
87.5,132.5,0.648,1982-2026
87.5,135.0,0.6489,1982-2026
